§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Wir sind überzeugt, dass wir neue atomare Aufrüstungsspiralen dauerhaft nur verhindern können, wenn es gelingt, neben den Atommächten USA und Russland auch   Nuklearwaffenstaaten wie China an den Verhandlungstisch zu holen§gesundheit§0.22428104281425476§[('gesundheit', 0.22428104281425476), ('bildung', 0.21458357572555542), ('klima', 0.1876584142446518)]
0§Rüstungskontrollvereinbarungen für sogenannte „Cyberwaffen“, die neuen Massenvernichtungswaffen im Informationszeitalter, und die „Hypersonic Glide Vehicles” mit Atomsprengkopf, die innerhalb einer Stunde jeden Ort auf der Welt erreichen und zerstören können, müssen dringend verhandelt werden§bildung§0.40868109464645386§[('bildung', 0.40868109464645386), ('gesundheit', 0.1518266201019287), ('soziale ursachen', 0.10350096225738525)]
0§Das ist eine Überlebensfrage der Mensch- heit§gesundheit§0.3194924294948578§[('gesundheit', 0.3194924294948578), ('bildung', 0.2804185152053833), ('wissenschaft', 0.0981287732720375)]
0§Klare Haltung gegenüber Russland  Für uns Freie Demokraten sind die Prinzipien des Völker- rechts, der Menschenrechte und der europäischen Friedens- ordnung, zu denen sich auch Russland in der „OSZE-Charta von Paris“ ausdrücklich bekannt hat, nicht verhandelbar§politik und ideologie§0.4291851222515106§[('politik und ideologie', 0.4291851222515106), ('klima', 0.25663065910339355), ('gesundheit', 0.10156334936618805)]
0§Daher sehen wir die derzeitige Politik der Russischen Föde- ration mit großer Sorge§politik und ideologie§0.5252668261528015§[('politik und ideologie', 0.5252668261528015), ('bildung', 0.14660930633544922), ('gesundheit', 0.12699823081493378)]
0§Wir Freie Demokraten fordern ein unverzügliches Ende der Gewalt in der Ostukraine und der völkerrechtswidrigen Annexion der Krim§politik und ideologie§0.3768351376056671§[('politik und ideologie', 0.3768351376056671), ('bildung', 0.25165465474128723), ('gesundheit', 0.15736599266529083)]
0§Daher stehen wir ausdrücklich zu den von der EU verhängten Sanktionen§bildung§0.2442672699689865§[('bildung', 0.2442672699689865), ('gesundheit', 0.1681923121213913), ('politik und ideologie', 0.14152252674102783)]
0§Im Fall einer weiteren militärischen Eskalation in der Ukraine muss die EU die Sanktionen verschärfen, denn sie sind kein Selbstzweck, sondern dienen der Wiederherstellung der Frie- densordnung§bildung§0.2898026704788208§[('bildung', 0.2898026704788208), ('gesundheit', 0.2717550992965698), ('politik und ideologie', 0.13606004416942596)]
0§Dabei muss die EU mit einer Stimme sprechen§bildung§0.3646352291107178§[('bildung', 0.3646352291107178), ('gesundheit', 0.25350478291511536), ('politik und ideologie', 0.13433994352817535)]
0§Lockerungen oder gar eine Aufhebung der Sanktionsregelun- gen kann es nur bei einer Umsetzung des Minsker Abkom- mens geben§gesundheit§0.3287581503391266§[('gesundheit', 0.3287581503391266), ('bildung', 0.25054317712783813), ('none', 0.08103707432746887)]
0§Die Unterstützung Russlands für Diktatoren wie Alexander Lukaschenko oder Baschar al-Assad gefährdet die internationale Sicherheit ebenso wie vom Kreml gesteuerte Desinformationskampagnen und Hackerangriffe in Europa§politik und ideologie§0.32146701216697693§[('politik und ideologie', 0.32146701216697693), ('gesundheit', 0.3193473517894745), ('bildung', 0.1914754956960678)]
0§Die Ermordung von Boris Nemzow, gezielte Giftanschläge auf Regimegegner, Aktionen zur physischen und politischen Vernichtung prominenter Oppositioneller wie Alexei Nawal- ny, die massenhafte Inhaftierung friedlicher Demonstrantinnen und Demonstranten sowie die systematische Einschränkung der Pressefreiheit kritisieren wir aufs Schärfste§bildung§0.24933074414730072§[('bildung', 0.24933074414730072), ('politik und ideologie', 0.21000789105892181), ('soziale ursachen', 0.17261238396167755)]
0§Präsident Wladimir Putin trägt unmittelbare Verantwortung für die zu- nehmende autoritäre Entwicklung Russlands§politik und ideologie§0.27390897274017334§[('politik und ideologie', 0.27390897274017334), ('bildung', 0.2371656894683838), ('gesundheit', 0.19447359442710876)]
0§Die EU darf bei allem Willen zum Dialog nicht verharmlosend über diese ge- fährliche Entwicklung hinwegsehen§bildung§0.22643275558948517§[('bildung', 0.22643275558948517), ('politik und ideologie', 0.1970699429512024), ('gesundheit', 0.17397770285606384)]
0§Zudem gilt, dass liberale Außenpolitik in der Tradition Walter Scheels und Hans-Diet- rich Genschers nicht an der Außengrenze der EU enden kann: Russland bleibt Deutschland und Europa menschlich, kulturell und wirtschaftlich eng verbunden§politik und ideologie§0.4620928466320038§[('politik und ideologie', 0.4620928466320038), ('wirtschaft', 0.17841890454292297), ('bildung', 0.15329426527023315)]
0§Wir Freie De- mokraten wollen Gesprächskanäle, vor allem zu Bürger- rechtsorganisation wie Memorial, offenhalten§politik und ideologie§0.28996989130973816§[('politik und ideologie', 0.28996989130973816), ('bildung', 0.2015441209077835), ('gesundheit', 0.1960265040397644)]
0§Am Ziel des Wiederaufbaus von Vertrauen halten wir fest§bildung§0.2994532883167267§[('bildung', 0.2994532883167267), ('gesundheit', 0.2579401433467865), ('wirtschaft', 0.10239475965499878)]
0§Auch wollen wir Reisen für die Zivilgesellschaft durch Visumserleichterun- gen vereinfachen§bildung§0.29242879152297974§[('bildung', 0.29242879152297974), ('gesundheit', 0.1749868541955948), ('soziale ursachen', 0.13293103873729706)]
0§Die russische Regierung muss zuvor aber zu Rechtsstaatlichkeit und der Einhaltung der Bürgerrechte und des Völkerrechts zurückkehren§politik und ideologie§0.3006061911582947§[('politik und ideologie', 0.3006061911582947), ('bildung', 0.2311924248933792), ('gesundheit', 0.19353102147579193)]
0§Eine demokratische Zukunft für ein freies Belarus Wir Freie Demokraten stehen an der Seite der friedlichen  demokratischen Proteste in Belarus, die zu Recht massive Wahlfälschungen und demokratische Defizite anklagen§politik und ideologie§0.31272363662719727§[('politik und ideologie', 0.31272363662719727), ('bildung', 0.2749871611595154), ('gesundheit', 0.21808210015296936)]
0§Das  Das Programm der Freien Demokraten zur Bundestagswahl  brutale Vorgehen des Regimes Lukaschenko gegen diese legi- timen Proteste des belarussischen Volkes ist inakzeptabel§politik und ideologie§0.390730619430542§[('politik und ideologie', 0.390730619430542), ('gesundheit', 0.24869900941848755), ('bildung', 0.1875305473804474)]
0§In den belarussischen Gefängnissen herrschen Willkür und Fol- ter§bildung§0.4056722819805145§[('bildung', 0.4056722819805145), ('gesundheit', 0.13517563045024872), ('klima', 0.11334945261478424)]
0§Wir fordern die umgehende Freilassung aller politischen Gefangenen und baldige Neuwahlen als Ergebnis eines  von der Organisation für Sicherheit und Zusammenarbeit in Europa (OSZE) vermittelten strukturierten Dialogs zwischen Opposition und Machthabern§politik und ideologie§0.38883423805236816§[('politik und ideologie', 0.38883423805236816), ('bildung', 0.31209298968315125), ('gesundheit', 0.12152109295129776)]
0§Das von Lukaschenko nun ge- plante „Verfassungsreferendum” erfüllt diesen Anspruch nicht§bildung§0.396107941865921§[('bildung', 0.396107941865921), ('gesundheit', 0.15276439487934113), ('politik und ideologie', 0.13742081820964813)]
0§Die russische Einmischung zugunsten Lukaschenkos sehen wir mit Sorge§gesundheit§0.34224751591682434§[('gesundheit', 0.34224751591682434), ('bildung', 0.2255360335111618), ('politik und ideologie', 0.14748279750347137)]
0§Die demokratische Opposition in Belarus wollen wir durch verstärkte Informationsangebote der Deutschen Welle und durch finanzielle Unterstützung zugunsten der Zivil- gesellschaft sowie durch Visumserleichterungen unterstützen§bildung§0.29642796516418457§[('bildung', 0.29642796516418457), ('politik und ideologie', 0.25769928097724915), ('gesundheit', 0.14082442224025726)]
0§Für eine Wiederbelebung des Friedensprozesses im Nahen Osten  Wir Freie Demokraten setzen uns unvermindert für eine Fort- setzung des deutschen und europäischen Engagements im Nahen Osten und eine Wiederbelebung des israelisch-paläs- tinensischen Friedensprozesses ein§politik und ideologie§0.254121869802475§[('politik und ideologie', 0.254121869802475), ('gesundheit', 0.2352430671453476), ('bildung', 0.22612051665782928)]
0§Dabei bleibt die Sicher- heit und das Existenzrecht Israels als jüdischer und demo- kratischer Staat für uns Staatsräson und damit Grundpfeiler einer liberalen Außen- und Sicherheitspolitik§politik und ideologie§0.45519742369651794§[('politik und ideologie', 0.45519742369651794), ('bildung', 0.23144908249378204), ('gesundheit', 0.17971310019493103)]
0§Israels Recht auf Verteidigung seiner Bevölkerung und seines Staatsgebietes gegen islamistischen Terrorismus ist für uns selbstverständlich§bildung§0.42302048206329346§[('bildung', 0.42302048206329346), ('gesundheit', 0.22014856338500977), ('klima', 0.07993954420089722)]
0§Wir treten für eine verhandelte Zweistaatenlösung als den bislang einzigen Weg ein, um einerseits dauerhaft die Sicher- heit des demokratischen Staates Israel zu garantieren und andererseits die Schaffung eines souveränen, demokratischen und lebensfähigen Staates Palästina zu ermöglichen§gesundheit§0.3005851209163666§[('gesundheit', 0.3005851209163666), ('bildung', 0.2472706139087677), ('politik und ideologie', 0.15394173562526703)]
0§Deshalb sehen wir mögliche Schritte, Teile des Westiordanlandes völkerrechtswidrig zu annektieren, mit Sorge§politik und ideologie§0.2562582790851593§[('politik und ideologie', 0.2562582790851593), ('gesundheit', 0.22069117426872253), ('bildung', 0.17234352231025696)]
0§Das würde die Möglichkeit gefährden, im Rahmen von zukünftigen Verhand- lungen eine Zweistaatenlösung zu erreichen und umzusetzen§bildung§0.33976125717163086§[('bildung', 0.33976125717163086), ('gesundheit', 0.24069218337535858), ('klima', 0.09778991341590881)]
0§Gleichzeitig muss es das klare Ziel sein, einen künftigen palästinensischen Staat auf der Basis von Demokratie und Rechtsstaatlichkeit aufzubauen§politik und ideologie§0.27573204040527344§[('politik und ideologie', 0.27573204040527344), ('bildung', 0.2350507378578186), ('klima', 0.2297639399766922)]
0§Die fehlende demokratische Legitimation der derzeitigen Palästinenserführung sowie die eklatanten Menschenrechtsverletzungen sind hierfür bereits ein Hindernis§politik und ideologie§0.4206943213939667§[('politik und ideologie', 0.4206943213939667), ('bildung', 0.2905280888080597), ('gesundheit', 0.11443331092596054)]
0§Auch muss regelmäßig geprüft und entspre- chende Maßnahmen ergriffen werden, dass Hilfszahlungen von Deutschland und der EU an die palästinensische Auto- nomiebehörde nicht direkt oder indirekt zur Finanzierung von Gewalt oder Terrorismus missbraucht werden können§bildung§0.3509150445461273§[('bildung', 0.3509150445461273), ('gesundheit', 0.19687862694263458), ('wirtschaft', 0.09943155944347382)]
0§Klarheit bei EU-China-Beziehungen  Wir Freie Demokraten wollen die EU-China-Beziehungen ungeachtet der Systemrivalität gezielt weiterentwickeln und die wirtschaftlichen und zivilgesellschaftlichen Beziehungen vertiefen§wirtschaft§0.25392329692840576§[('wirtschaft', 0.25392329692840576), ('politik und ideologie', 0.21155592799186707), ('bildung', 0.16269172728061676)]
0§Ein engerer Austausch mit China kann aber nur auf der Grundlage und der Einhaltung des geltenden internatio- nalen Rechts und insbesondere der Regeln der Vereinten Na- tionen, der Welthandelsorganisation (WTO) und der Interna- tionalen Arbeitsorganisation (LO) erfolgen§bildung§0.25030672550201416§[('bildung', 0.25030672550201416), ('politik und ideologie', 0.1906774938106537), ('gesundheit', 0.17522308230400085)]
0§Die kurz vor Ende   der deutschen Ratspräsidentschaft nach jahrelangen Verhand- lungen am  Dezember erzielte Einigung über das EU-China-Investitionsabkommen (CAl), das über den Investiti- onsschutz selbst noch keine Regelung trifft, ist ein erster Schritt, der allerdings noch viele wichtige Rechtsfragen nicht abschlie- Bend regelt§bildung§0.26556533575057983§[('bildung', 0.26556533575057983), ('gesundheit', 0.16472338140010834), ('klima', 0.10912585258483887)]
0§Für uns Freie Demokraten besteht deshalb noch in hohem Maße Ergänzungsbedarf, bevor es ratifiziert werden kann§politik und ideologie§0.3184254467487335§[('politik und ideologie', 0.3184254467487335), ('bildung', 0.24608948826789856), ('gesundheit', 0.18704210221767426)]
0§Dazu gehören auch Chinas ungerechtfertigte Gegen- sanktionen gegen europäische Organisationen und Personen§politik und ideologie§0.3276187479496002§[('politik und ideologie', 0.3276187479496002), ('bildung', 0.22158822417259216), ('soziale ursachen', 0.12299685180187225)]
0§Gegenseitiger Marktzugang, Rechtssicherheit einschließlich der Unabhängigkeit der Gerichte und die universelle Geltung der Menschenrechte sind untrennbare Teile unseres multilatera- len Werte- und Regelsystems§bildung§0.4021297097206116§[('bildung', 0.4021297097206116), ('gesundheit', 0.23944485187530518), ('soziale ursachen', 0.08515937626361847)]
0§Menschenrechtsverletzungen und die fehlende Rechtsstaatlichkeit dürfen nicht schweigend hin- genommen werden§bildung§0.37456682324409485§[('bildung', 0.37456682324409485), ('gesundheit', 0.17334602773189545), ('politik und ideologie', 0.14029157161712646)]
0§Die beispiellose technische Überwachung der Bevölkerung sowie die Unterdrückung ethnischer und religiöser Minderheiten durch den chinesischen Staat stehen im Widerspruch zu Chinas völkerrechtlichen Verpflichtungen§bildung§0.4276999533176422§[('bildung', 0.4276999533176422), ('politik und ideologie', 0.21373741328716278), ('gesundheit', 0.10615367442369461)]
0§Durch die Internierung und Zwangssterilisierung von Angehöri- gen ethnischer Minderheiten setzt sich China dem Vorwurf des Völkermordes aus§bildung§0.2618663012981415§[('bildung', 0.2618663012981415), ('gesundheit', 0.230976402759552), ('politik und ideologie', 0.2093537449836731)]
0§All diese Themen müssen im Rahmen des EU-China-Dialogs mit Nachdruck angesprochen werden§bildung§0.5311279296875§[('bildung', 0.5311279296875), ('gesundheit', 0.11818009614944458), ('politik und ideologie', 0.10948624461889267)]
0§Das erwarten auch Chinas Nachbarn von uns, die oftmals einer Politik aktiver chinesischer Einschüchterung unterliegen§politik und ideologie§0.48062124848365784§[('politik und ideologie', 0.48062124848365784), ('bildung', 0.1930263787508011), ('gesundheit', 0.16604018211364746)]
0§Vor diesem Hintergrund unterstützen wir die zielgerichtete Verhän- gung von Sanktionen der EU gegen chinesische Offizielle, die für Menschenrechtsverletzungen verantwortlich sind§bildung§0.3388700485229492§[('bildung', 0.3388700485229492), ('politik und ideologie', 0.2741752564907074), ('gesundheit', 0.14656426012516022)]
0§Das demokratische Taiwan unterstützen  Wir Freie Demokraten unterstützen die demokratische und rechtsstaatliche Entwicklung in Taiwan als gelungenen Gegenentwurf zum autoritären Herrschaftssystem in der Volks- republik China§politik und ideologie§0.5090975761413574§[('politik und ideologie', 0.5090975761413574), ('bildung', 0.19967035949230194), ('gesundheit', 0.1578163057565689)]
0§Wir befürworten die Bemühungen Taiwans um Einbindung in internationale Organisationen - soweit das unterhalb der Schwelle einer staatlichen Anerkennung erfolgen kann§bildung§0.39715301990509033§[('bildung', 0.39715301990509033), ('gesundheit', 0.19846855103969574), ('politik und ideologie', 0.16142801940441132)]
0§Wir wollen zudem, dass Deutschland und  die EU den Ausbau der wirtschaftlichen, wissenschaftlichen und zivilgesellschaftlichen Beziehungen vorantreiben§wirtschaft§0.39738723635673523§[('wirtschaft', 0.39738723635673523), ('bildung', 0.17574110627174377), ('wissenschaft', 0.12095959484577179)]
0§Eine Vereinigung von China und Taiwan kann nur im friedlichen Konsens erfolgen§gesundheit§0.34091922640800476§[('gesundheit', 0.34091922640800476), ('bildung', 0.3223477602005005), ('klima', 0.08206560462713242)]
0§Militärische Drohgebärden der Volksre- publik China gegen Taiwan verurteilen wir aufs Schärfste§bildung§0.2622734606266022§[('bildung', 0.2622734606266022), ('politik und ideologie', 0.23266683518886566), ('gesundheit', 0.14312365651130676)]
0§Gemeinsam mit unseren europäischen Partnern und anderen Demokratien, allen voran Australien, Japan, Indien und den USA, wollen wir eine Strategie entwerfen, um China von der Drohung einer gewaltsamen Einnahme Taiwans abzubringen und China anhalten, auf dem Pfad der Diplomatie zu blei- ben§bildung§0.2566820979118347§[('bildung', 0.2566820979118347), ('gesundheit', 0.24087929725646973), ('politik und ideologie', 0.1850004345178604)]
0§Unser langfristiges Ziel ist es, dass sich die Volksrepublik China und Taiwan im friedlichen Dialog darauf verständigen, den Bürgerinnen und Bürgern Taiwans die freie Entscheidung über ihre politische Zukunft zu ermöglichen§politik und ideologie§0.3043110966682434§[('politik und ideologie', 0.3043110966682434), ('bildung', 0.23602193593978882), ('gesundheit', 0.18182121217250824)]
0§Hongkong im Kampf um Freiheitsrechte nicht allein lassen  Wir Freie Demokraten stehen an der Seite der mutigen Bürgerinnen und Bürger Hongkongs, die für ihre Freiheits-  Das Programm der Freien Demokraten zur Bundestagswahl  rechte eintreten§politik und ideologie§0.31707996129989624§[('politik und ideologie', 0.31707996129989624), ('bildung', 0.2548496425151825), ('klima', 0.12290669232606888)]
0§Wir verurteilen das Sicherheitsgesetz der chinesischen Führung sowie deren neues Wahlgesetz für Hongkong, denn es kriminalisiert die demokratischen Proteste in Hongkong, unterdrückt Menschen und setzt die repressiven Standards Chinas in Hongkong um§bildung§0.2365262806415558§[('bildung', 0.2365262806415558), ('politik und ideologie', 0.23400986194610596), ('gesundheit', 0.18965506553649902)]
0§Zusammen mit der EU, Großbritannien und den USA muss Deutschland die Einhal- tung der chinesisch-britischen Erklärung von einfordern, die das Prinzip „Ein Land, zwei Systeme” verankert§bildung§0.3426278829574585§[('bildung', 0.3426278829574585), ('gesundheit', 0.23871754109859467), ('politik und ideologie', 0.2132752388715744)]
0§Mit dem „National Security Law” und dem neuen Wahlgesetz wurde dieses Prinzip nicht nur verletzt, sondern durch die massive Einflussnahme und willkürliche Interpretation schwammiger Gesetzesbestimmungen in entscheidenden Rechtsgarantien außer Kraft gesetzt§politik und ideologie§0.2541647255420685§[('politik und ideologie', 0.2541647255420685), ('bildung', 0.24411994218826294), ('gesundheit', 0.18993552029132843)]
0§Faktisch bedeutet dies die Unterwerfung Hongkongs durch die kommunistische Partei Chinas und das Aus für das Prinzip „Ein Land, zwei Systeme”§politik und ideologie§0.407782644033432§[('politik und ideologie', 0.407782644033432), ('bildung', 0.3314359188079834), ('gesundheit', 0.16046099364757538)]
0§Auf diesen Bruch des Völkerrechts müssen Deutschland und die EU reagieren und personenbezogene Sanktionen gegen die Ver- antwortlichen erlassen§bildung§0.3907073736190796§[('bildung', 0.3907073736190796), ('politik und ideologie', 0.29125553369522095), ('gesundheit', 0.10285916924476624)]
0§Transatlantische Partnerschaften erneuern  Wir Freie Demokraten sind überzeugte Transatlantiker und sehen uns der deutsch-amerikanischen Freundschaft verpflich- tet§bildung§0.4001299738883972§[('bildung', 0.4001299738883972), ('politik und ideologie', 0.19995331764221191), ('gesundheit', 0.17030464112758636)]
0§Die Wahl von Joe Biden zum US-Präsidenten bietet die große Chance, die transatlantischen Beziehungen für das kommende Jahrzehnt zu erneuern§bildung§0.4375928044319153§[('bildung', 0.4375928044319153), ('gesundheit', 0.16537335515022278), ('politik und ideologie', 0.12584079802036285)]
0§Wir wollen, dass Deutsch- land und die EU diese Chance nutzen§gesundheit§0.2572055459022522§[('gesundheit', 0.2572055459022522), ('bildung', 0.21391215920448303), ('politik und ideologie', 0.1599610298871994)]
0§Hierfür wollen wir Freie Demokraten den Dialog mit den Vereinigten Staaten auf allen Ebenen intensivieren, die transatlantischen Handels- beziehungen hin zu einem transatlantischen Wirtschaftsraum vertiefen und den „EU-US-Privacy Shield” schnell neu verhan- deln, um eine rechtssichere Lösung für den transatlantischen Datenverkehr zu finden§politik und ideologie§0.25046205520629883§[('politik und ideologie', 0.25046205520629883), ('wirtschaft', 0.21971222758293152), ('bildung', 0.1486978977918625)]
0§Zudem wollen wir die europäische Handlungsfähigkeit sowie den Zusammenhalt der NATO stärken und so dazu beitragen, die besonderen Beziehungen zwischen Europa und den USA auf eine Grundlage zu stel- len, die den aktuellen geopolitischen Umbrüchen Rechnung trägt§bildung§0.2729666829109192§[('bildung', 0.2729666829109192), ('gesundheit', 0.20219610631465912), ('politik und ideologie', 0.11359383910894394)]
0§Gleiches gilt für umfassende Beziehungen mit dem NATO-Partner Kanada, wo wir das von der Großen Koalition noch immer nicht ratifizierte EU-Kanada-Handelsabkommen CETA schnellstens verabschieden wollen§bildung§0.30493399500846863§[('bildung', 0.30493399500846863), ('politik und ideologie', 0.2276666909456253), ('gesundheit', 0.19450786709785461)]
0§Die Vereinten Nationen reformieren  Wir Freie Demokraten wollen starke und handlungsfähige Vereinte Nationen (VN), die ihrer weltpolitischen Verant- wortung für Sicherheit und Frieden gerecht werden§politik und ideologie§0.38408535718917847§[('politik und ideologie', 0.38408535718917847), ('bildung', 0.32083824276924133), ('gesundheit', 0.10124735534191132)]
0§Jahre nach ihrer Gründung müssen die Vereinten Nationen dringend reformiert werden§bildung§0.2740641236305237§[('bildung', 0.2740641236305237), ('gesundheit', 0.23832957446575165), ('politik und ideologie', 0.19256837666034698)]
0§Insbesondere der Sicherheitsrat der Vereinten Nationen muss an die veränderte Staatenwelt des  Jahrhunderts angepasst werden§bildung§0.39138486981391907§[('bildung', 0.39138486981391907), ('gesundheit', 0.20981484651565552), ('politik und ideologie', 0.13190318644046783)]
0§Im Rahmen einer VN-Reform setzen wir uns zudem für einen ständigen euro- päischen Sitz im Sicherheitsrat der Vereinten Nationen und den Ausbau des Konsenses über die Schutzverantwortung („Responsibility to Protect”) ein§bildung§0.3395439684391022§[('bildung', 0.3395439684391022), ('gesundheit', 0.18949264287948608), ('politik und ideologie', 0.18085750937461853)]
0§Die universellen Menschenrechte sind die Grundlage jeder liberalen und freien Gesellschaft und schaffen weltweit die Basis für Demokratie, Freiheit und Rechtsstaatlichkeit§bildung§0.41008979082107544§[('bildung', 0.41008979082107544), ('politik und ideologie', 0.22715790569782257), ('gesundheit', 0.10117541998624802)]
0§Gerade in Krisenzeiten wie der aktuellen Covid-Pandemie geraten Menschenrechte international aber stärker unter Druck§bildung§0.30597519874572754§[('bildung', 0.30597519874572754), ('gesundheit', 0.26130735874176025), ('politik und ideologie', 0.12360000610351562)]
0§Wir Freie Demokraten sind überzeugt, dass der Einsatz für Frei- heit und Menschenrechte weltweit dringender denn je ist§politik und ideologie§0.26803359389305115§[('politik und ideologie', 0.26803359389305115), ('bildung', 0.25874513387680054), ('gesundheit', 0.16164706647396088)]
0§Wir wollen, dass Deutschland beim Schutz der Menschenrechte eine Vorreiterrolle einnimmt und Führungsstärke zeigt§bildung§0.2825396955013275§[('bildung', 0.2825396955013275), ('gesundheit', 0.22098758816719055), ('politik und ideologie', 0.13866432011127472)]
0§Für uns sind Menschenrechte nicht verhandelbar§bildung§0.26855725049972534§[('bildung', 0.26855725049972534), ('gesundheit', 0.21109670400619507), ('soziale ursachen', 0.1561965048313141)]
0§Menschenrechte im digitalen Zeitalter schützen  Wir Freie Demokraten wollen den Schutz der Menschenrech- te im digitalen Zeitalter stärken§bildung§0.27732232213020325§[('bildung', 0.27732232213020325), ('politik und ideologie', 0.2020101249217987), ('gesundheit', 0.1935596764087677)]
0§Hierfür wollen wir die Inter- netfreiheit und digitalen Menschenrechte zu neuen außen- politischen Schwerpunkten machen§politik und ideologie§0.5210855007171631§[('politik und ideologie', 0.5210855007171631), ('bildung', 0.19900916516780853), ('soziale ursachen', 0.06609515100717545)]
0§Denn die Digitalisierung birgt sowohl neue Chancen für den Schutz der Menschen- rechte als auch neue Herausforderungen§bildung§0.7784757614135742§[('bildung', 0.7784757614135742), ('gesundheit', 0.05067729204893112), ('klima', 0.03235612064599991)]
0§Beim Ausbau des Menschenrechtsschutzes im digitalen Zeitalter muss Deutsch- land im Zuge einer effektiven Cybersicherheitsstrategie in Europa und international eine Führungsrolle einnehmen  - insbesondere beim Recht auf Privatsphäre, Anonymität im Internet und Verschlüsselung sowie beim Schutz personen- bezogener Daten und vor Massenüberwachung§bildung§0.24085550010204315§[('bildung', 0.24085550010204315), ('gesundheit', 0.2167423665523529), ('politik und ideologie', 0.13931705057621002)]
0§Zum Schutz der Privatsphäre gehört auch, dass zur Straf- und Zivilrechts- verfolgung von Persönlichkeitsrechtsverletzungen Anonymität aufgehoben werden kann§gesundheit§0.31655779480934143§[('gesundheit', 0.31655779480934143), ('bildung', 0.27837803959846497), ('politik und ideologie', 0.1274886131286621)]
0§Frauenrechte sind Menschenrechte  Wir Freie Demokraten sind überzeugt, dass Frauen weltweit eine elementare Rolle in der internationalen Friedenssiche- rung, Streitschlichtung und Krisenprävention spielen§politik und ideologie§0.3354107141494751§[('politik und ideologie', 0.3354107141494751), ('bildung', 0.27070558071136475), ('gesundheit', 0.12778837978839874)]
0§Wir wollen deshalb die Position von Frauen in der Krisen- und Konfliktbewältigung stärken§bildung§0.30874234437942505§[('bildung', 0.30874234437942505), ('gesundheit', 0.28737613558769226), ('soziale ursachen', 0.10408710688352585)]
0§Daher fordern wir eine stärkere Anstrengung bei der Positionierung von Frauen in Schlüssel- und Führungspositionen bei der UNO, der EU und im Bund§politik und ideologie§0.43154388666152954§[('politik und ideologie', 0.43154388666152954), ('bildung', 0.20374704897403717), ('gesundheit', 0.13543909788131714)]
0§Der Nationale Aktionsplan „Frauen, Frieden, Sicherheit” und die entsprechende Resolution der Vereinten Nationen (VN) müssen ambitioniert umgesetzt werden§politik und ideologie§0.5838993191719055§[('politik und ideologie', 0.5838993191719055), ('bildung', 0.2500685453414917), ('gesundheit', 0.0545724555850029)]
0§Weltweit wer- den Krisen und Konflikte in den kommenden Jahren zuneh- men§bildung§0.18998773396015167§[('bildung', 0.18998773396015167), ('politik und ideologie', 0.18718941509723663), ('gesundheit', 0.15426965057849884)]
0§Vor allem Kinder, ältere Menschen und Frauen sind in diesen Situationen besonders betroffen§bildung§0.335091769695282§[('bildung', 0.335091769695282), ('gesundheit', 0.2527455687522888), ('soziale ursachen', 0.1545180380344391)]
0§Sexualisierte Gewalt wird systematisch als Kriegswaffe eingesetzt§bildung§0.39048224687576294§[('bildung', 0.39048224687576294), ('soziale ursachen', 0.1371079534292221), ('gesundheit', 0.10639113187789917)]
0§Wir setzen uns deshalb dafür ein, dass diese Form der Kriegsführung geäch- tet wird und Vertragsstaaten sowohl die VN-Frauenrechtskon- vention (CEDAW) als auch die Istanbul-Konvention einhalten und umsetzen§gesundheit§0.34501412510871887§[('gesundheit', 0.34501412510871887), ('bildung', 0.2589688301086426), ('wissenschaft', 0.09342526644468307)]
0§Stärkung von LSBTI-Rechten  Wir Freie Demokraten wollen, dass sich Deutschland ge- meinsam mit EU-Partnern konsequent für die Stärkung von  Das Programm der Freien Demokraten zur Bundestagswahl  LSBTI-Rechten einsetzt, Menschenrechtsverletzungen an Lesben, Schwulen, Bisexuellen, trans- und intergeschlechtli- chen Menschen verurteilt und für die Abschaffung diskriminie- render Gesetze eintritt§politik und ideologie§0.2390391230583191§[('politik und ideologie', 0.2390391230583191), ('bildung', 0.1852700412273407), ('gesundheit', 0.17406117916107178)]
0§Bei Strafverschärfungen gegen LSBTI muss Deutschland die Entwicklungszusammenarbeit im Dialog mit Nichtregierungsorganisationen vor Ort auf den Prüfstand stellen, gegebenenfalls die Budgethilfe streichen und die Zusammenarbeit mit staatlichen Einrichtungen beenden§bildung§0.2374836504459381§[('bildung', 0.2374836504459381), ('wirtschaft', 0.19617967307567596), ('gesundheit', 0.16236820816993713)]
0§Auf Ebene der Vereinten Nationen fordern wir eine Konvention für LSBTI-Rechte nach dem Vorbild der Frauenrechtskonven- tion§bildung§0.4606092870235443§[('bildung', 0.4606092870235443), ('politik und ideologie', 0.18117985129356384), ('gesundheit', 0.08280480653047562)]
0§Nirgendwo dürfen homosexuelle Handlungen und die geschlechtliche Identität kriminalisiert werden§bildung§0.33126214146614075§[('bildung', 0.33126214146614075), ('gesundheit', 0.17046773433685303), ('soziale ursachen', 0.10279424488544464)]
0§In der EU soll die Bundesregierung auf einen europaweiten Schutz von LSBTI-Rechten hinwirken§bildung§0.36098095774650574§[('bildung', 0.36098095774650574), ('gesundheit', 0.21368756890296936), ('politik und ideologie', 0.15305384993553162)]
